,Date,Country,Dead,Source,More_Info
5631,Reported 14-Sep-1895,YEMEN ,Y,"Queenslander, 9/14/8/1895",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.09.14.R-Aden.pdf
5632,Sep-1895,USA,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.09.00-boat.pdf
5633,11-Aug-1895,USA,Y,Boston Globe,http://sharkattackfile.net/spreadsheets/pdf_directory/1895.08.11-Beattie.pdf
5634,2-Aug-1895,USA,N,"Boston Globe, 8/3/1895, p.5",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.08.02-Turner.pdf
5635,Reported 16-Jul-1895,JAPAN,Y,"Morning News, 7/16/1895",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.07.16.R-Lloyd.pdf
5637,Reported 03-Jun-1895,AUSTRALIA,Y,"The West Australian, 6/3/1895",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.06.03.R-JapaneseDiver.pdf
5638,21-May-1895,BAHAMAS,N,"Meriden Daily Republican, 6/12/1895",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.05.21-Stanley.pdf
5639,03-May-1895,NEW ZEALAND,Y,"Otago Witness, 5/16/1895",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.05.03-Cromarty.pdf
5640,29-Apr-1895,SOUTH AFRICA,Y,"M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.04.29-Sombutize.pdf
5641,23-Apr-1895,NEW ZEALAND,N,"Star, 4/25/1895, p.",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.04.23-Mitchell.pdf
5642,Reported 29-Mar-1895,INDONESIA,Y,"Fitzroy City Press, 3/29/1895",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.03.29.R-Pindo-Islanders.pdf
5643,15-Mar-1895,AUSTRALIA,N,"The Telegraph, 3/20/1895",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.03.15-Pringle.pdf
5644,27-Feb-1895,AUSTRALIA,Y,I. Donald ,http://sharkattackfile.net/spreadsheets/pdf_directory/1895.02.27-Donald.pdf
5645,Reported 23-Feb-1895,PANAMA,Y,"Fort Wayne Sentinel, 2/23/1895",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.02.23.R-Minard.pdf
5646,1895,AUSTRALIA,N,"G.P. Whitley (1951), p.192",http://sharkattackfile.net/spreadsheets/pdf_directory/1895.00.00-Dahl.pdf
5647,11-Dec-1894,USA,N,"Atlanta Constitution, 12/12/1894",http://sharkattackfile.net/spreadsheets/pdf_directory/1894.12.11-Brynes.pdf
5648,28-Nov-1894,AUSTRALIA,N,"Brisbane Courier, 1/7/1895, p.5",http://sharkattackfile.net/spreadsheets/pdf_directory/1894.11.28-Hewison.pdf
5649,Reported 06-Oct-1894,USA,Y,"Middletown Daily Argus, 10/6/1894",http://sharkattackfile.net/spreadsheets/pdf_directory/1894.10.06.R-deserter.pdf
5650,Reported 12-Sep-1894,USA,N,"Washington Post, 9/13/1894",http://sharkattackfile.net/spreadsheets/pdf_directory/1894.09.12.R-Daly.pdf
5651,Reported 06-Sep-1894,FIJI,N,"The Colonist, 9/6/1894",http://sharkattackfile.net/spreadsheets/pdf_directory/1894.09.06.R-FijianGirl.pdf
5652,Reported 01-Sep-1894,USA,N,"Lima Times Democrat, 9/1/1894",http://sharkattackfile.net/spreadsheets/pdf_directory/1894.09.01.R-Muller.pdf
5653,21-Aug-1894,USA,UNKNOWN,"NY Times, 8/22/1894 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1894.08.21-CatherineBeach.pdf
5654,01-Aug-1894,USA,N,"Jacksonville Times-Union, 8/2/1894",http://sharkattackfile.net/spreadsheets/pdf_directory/1894.08.01-MiltonShane.pdf
5655,Reportd 15-Jul-1894,FRANCE,Y,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1894.07.15.R-France.pdf
5656,29-Jun-1894,USA,UNKNOWN,"Atlanta Constitution, 7/1/1894; Washington Post 7/1/1894, p.17",http://sharkattackfile.net/spreadsheets/pdf_directory/1894.06.29-ErskineReynolds.pdf
5657,25-Jun-1894,SOUTH AFRICA,Y,"Cape Argus, 7/2/1894 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1894.06.25-SwedishWhaler.pdf
5658,Reported 15-Jun-1894,USA,N,"Warren Ledger, 6/15/1894",http://sharkattackfile.net/spreadsheets/pdf_directory/1894.06.15.b.R-Newbern.pdf
5659,Reported 15-Jun-1894,MEXICO,Y,"Warren Ledger, 6/15/1894",http://sharkattackfile.net/spreadsheets/pdf_directory/1894.06.15.a-R-Rover.pdf
5660,Reported 28-Apr-1894,BURMA,Y,"Bruce Herald, 8/24/1894",http://sharkattackfile.net/spreadsheets/pdf_directory/1894.04.28.b.R-GraceDarling.pdf
5661,Reported 28-Apr-1894,BURMA,Y,"Bruce Herald, 8/24/1894",http://sharkattackfile.net/spreadsheets/pdf_directory/1894.04.28.a.R-LucyStone.pdf
5662,Reported 20-Oct-1893,INDIA,Y,"Middletown Daily Argus, 10/20/1893",http://sharkattackfile.net/spreadsheets/pdf_directory/1893.10.20.R-PearlTrader.pdf
5664,03-Jul-1893,PHILIPPINES,Y,"New Zealand Tablet, 12/1/1893",http://sharkattackfile.net/spreadsheets/pdf_directory/1893.07.03-DonJuan.pdf
5665,Reported 22-Jun-1893,NIGERIA,Y,"Otago Witness, 6/22/1893",http://sharkattackfile.net/spreadsheets/pdf_directory/1893.06.22.R-Nigeria.pdf
5666,22-Jun-1893,LEBANON,Y,"The Sydney Morning Herald, 6/29/1893",http://sharkattackfile.net/spreadsheets/pdf_directory/1893.06.22-HMSVictoria.pdf
5667,Reported 23-May-1893,FIJI,Y,"Brisbane Courier, 5/23/1893",http://sharkattackfile.net/spreadsheets/pdf_directory/1893.05.23.R-FijianCanoe.pdf
5668,17-May-1893,CUBA,Y,"Portsmouth Herald, 3/6/1899",http://sharkattackfile.net/spreadsheets/pdf_directory/1893.05.17-Margulies.pdf
5669,Reported 15-Apr-1893,SOUTH ATLANTIC OCEAN,N,"The News, 4/15/1893",http://sharkattackfile.net/spreadsheets/pdf_directory/1893.04.15.R-Barclay.pdf
5670,14-Apr-1893,AUSTRALIA,N,"Brisbane Courier, 6/2/1893",http://sharkattackfile.net/spreadsheets/pdf_directory/1893.04.14-Kangaroo.pdf
